Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Bill Willoughby,CLE,1980,2.8,5.9,.479,0.0,0.1,.111,2.8,5.7,.487,1.2,1.6,.756,1.6,2.7,0.9,0.4,0.8,0.9,2.4,6.9
Bubba Wilson,GSW,1980,0.4,1.6,.280,0.0,0.0,,0.4,1.6,.280,0.2,0.4,.500,0.4,0.6,0.8,0.1,0.0,0.5,0.7,1.1
Rick Wilson,ATL,1980,0.4,2.8,.143,0.0,0.0,,0.4,2.8,.143,0.8,1.2,.667,0.4,0.2,2.2,0.8,0.2,1.6,0.6,1.6
Brian Winters,MIL,1980,6.7,14.0,.479,0.5,1.3,.373,6.2,12.7,.490,2.3,2.7,.860,0.6,2.2,4.5,1.3,0.4,2.3,2.6,16.2
Larry Wright,WSB,1980,3.0,6.6,.458,0.1,0.2,.250,3.0,6.4,.465,1.3,1.4,.889,0.5,1.1,2.9,0.6,0.2,1.4,1.9,7.3
Tony Zeno,IND,1980,0.8,2.6,.286,0.0,0.0,,0.8,2.6,.286,0.3,0.3,1.000,0.4,1.4,0.1,0.5,0.4,1.1,1.6,1.8
Kareem Abdul-Jabbar*,LAL,1981,10.5,18.2,.574,0.0,0.0,.000,10.5,18.2,.574,5.3,6.9,.766,2.5,7.8,3.4,0.7,2.9,3.1,3.1,26.2
Tom Abernethy,TOT,1981,0.6,1.5,.424,0.0,0.0,.000,0.6,1.5,.431,0.3,0.6,.591,0.5,0.7,0.5,0.2,0.1,0.2,0.9,1.6
Alvan Adams,PHO,1981,6.1,11.6,.526,0.0,0.0,,6.1,11.6,.526,2.7,3.5,.768,2.1,5.2,4.6,1.4,0.9,3.0,3.0,14.9
Darrell Allums,DAL,1981,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,0.6,1.0,.591,0.9,2.1,1.1,0.2,0.4,1.0,2.3,2.7
Tiny Archibald*,BOS,1981,4.8,9.6,.499,0.0,0.1,.000,4.8,9.5,.505,4.3,5.2,.816,0.5,1.8,7.7,0.9,0.2,3.3,2.5,13.8
Dennis Awtrey,SEA,1981,0.9,2.0,.473,0.0,0.0,,0.9,2.0,.473,0.3,0.4,.700,0.7,1.6,1.1,0.3,0.2,0.7,1.8,2.2
James Bailey,SEA,1981,5.4,10.8,.499,0.0,0.0,.500,5.4,10.8,.499,3.1,4.4,.709,2.3,5.1,1.2,0.9,1.7,2.7,4.0,14.0
Greg Ballard,WSB,1981,6.7,14.5,.463,0.1,0.4,.219,6.6,14.1,.470,2.0,2.4,.847,2.0,5.0,2.4,1.4,0.5,1.4,2.4,15.5
Mike Bantom,IND,1981,5.7,11.6,.489,0.0,0.1,.000,5.7,11.5,.492,2.6,3.7,.708,2.0,3.6,3.2,1.1,1.1,2.6,3.7,14.0
Billy Ray Bates,POR,1981,5.7,11.7,.487,0.2,0.7,.259,5.5,11.0,.501,2.2,2.6,.854,0.9,1.1,2.5,1.1,0.1,1.9,1.6,13.8
Mel Bennett,UTA,1981,0.9,2.1,.433,0.0,0.1,.000,0.9,2.1,.448,1.9,2.9,.654,1.2,2.1,0.5,0.1,0.4,1.1,2.0,3.8
Kent Benson,DET,1981,6.2,13.1,.473,0.0,0.1,.000,6.2,13.0,.475,3.3,4.3,.772,2.1,4.7,2.9,1.2,1.1,3.2,3.1,15.7
Henry Bibby,SDC,1981,1.6,4.2,.386,0.4,1.3,.337,1.2,2.9,.408,0.9,1.3,.684,0.3,0.7,2.7,0.6,0.0,1.0,1.2,4.6
Larry Bird*,BOS,1981,8.8,18.3,.478,0.2,0.9,.270,8.5,17.4,.489,3.5,4.0,.863,2.3,8.6,5.5,2.0,0.8,3.5,2.9,21.2
Otis Birdsong,KCK,1981,10.0,18.4,.544,0.1,0.5,.286,9.9,17.9,.551,4.5,6.4,.697,1.7,2.0,3.3,1.3,0.3,2.4,2.4,24.6
